"批量編輯Items"
"Barcode","Has Item Scanned","Item Code","Item Name","Item Group","Warehouse","Quantity","Valuation Rate","Amount","Allow Zero Valuation Rate","Use Serial No / Batch Fields","Serial / Batch Bundle","Current Serial / Batch Bundle","Serial No","Batch No","Current Qty","Current Amount","Current Valuation Rate","Current Serial No","Quantity Difference","Amount Difference"
"barcode","has_item_scanned","item_code","item_name","item_group","warehouse","qty","valuation_rate","amount","allow_zero_valuation_rate","use_serial_batch_fields","serial_and_batch_bundle","current_serial_and_batch_bundle","serial_no","batch_no","current_qty","current_amount","current_valuation_rate","current_serial_no","quantity_difference","amount_difference"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"CSV格式區分大小寫"
"不要編輯模板中預設的標題"
"------"
"","","6941565969002","DJI MINI 4 PRO帶屏組長續航套裝","Products","倉庫 - A",10,28000,280000,"",1,"","","","","","","","",10,280000
"","","6941565980243","DJI穿越搖桿3","Products","倉庫 - A",10,2000,20000,"",1,"","","","","","","","",10,20000
"","","6941565901460","DJI R富士相機控制線RSS-F","Products","倉庫 - A",50,250,12500,"",1,"","","","","","","","",50,12500
"","","6941565949912","DJI MINI 3套裝(DJI RC)","Products","倉庫 - A",10,15000,150000,"",1,"","","","","","","","",10,150000
"","","6941565952264","DJI MINI 3螺旋槳","Products","倉庫 - A",100,100,10000,"",1,"","","","","","","","",10,10000
"","","6941565945006","DJI OSMO ACTION 3防水殼(**)","Products","倉庫 - A",20,1200,24000,"",1,"","","","","","","","",20,24000
"","","6941565969767","DJI OSMO POCKET 3美顏柔光鏡(**)","Products","倉庫 - A",20,1000,20000,"",1,"","","","","","","","",10,20000
"","","6941565945037","DJI OSMO ACTION 3黏接底座套件(**)","Products","倉庫 - A",50,350,17500,"",1,"","","","","","","","",50,17500
"","","6941565945044","DJI OSMO ACTION 3鏡頭保護蓋(**)","Products","倉庫 - A",20,380,7600,"",1,"","","","","","","","",20,7600
