物料號,物料組,默認單位,物料名稱,成本價
6941565969002,無人機,PCS,DJI MINI 4 PRO帶屏組長續航套裝,28000
6941565980069,無人機配件,PCS,DJI 飛行眼鏡3,0
6941565980243,無人機配件,PCS,DJI 穿越搖桿3,2000
6941565974679,無人機,PCS,DJI RS4 PRO套裝,0
6941565969767,無人機配件,PCS,DJI OSMO POCKET 3美顏柔光鏡,1000
6941565969842,無人機配件,PCS,DJI OSMO POCKET 3增廣鏡,0
6941565969897,無人機配件,PCS,DJI OSMO POCKET 3拓展轉接件,0
6941565969750,無人機配件,PCS,DJI OSMO POCKET 3磁吸ND鏡套裝,0
6941565901460,無人機配件,PCS,DJI R富士相機控制線RSS-F,250
6941565949912,無人機,PCS,DJI MINI 3套裝(DJI RC),15000
6941565901361,無人機配件,PCS,DJI RONIN鷹眼圖傳,0
6941565952264,無人機配件,PCS,DJI MINI 3螺旋槳,100
6941565945006,無人機配件,PCS,DJI OSMO ACTION 3防水殼,1200
6941565952394,無人機配件,PCS,DJI MINI 3系列全向槳葉保護罩,0
6941565936455,無人機配件,PCS,DJI AVATA電池,0
6941565945037,無人機配件,PCS,DJI OSMO ACTION 3黏接底座套件,350
6941565965431,無人機配件,PCS,DJI AIR 3電池,0
6941565952981,無人機配件,PCS,DJI MIC無線麥克風1v1,0
6941565936462,無人機配件,PCS,DJI AVATA槳葉保護罩,0
6941565945044,無人機配件,PCS,DJI OSMO ACTION 3鏡頭保護蓋,380
6941565965455,無人機配件,PCS,DJI AIR 3充電管家,0
6958265189197,無人機配件,PCS,DJI ROBOMASTER S1視覺標籤,0
6958265194658,無人機配件,PCS,DJI ROBOMASTER S1線材包,0
6958265163593,無人機配件,PCS,DJI TELLO PART2螺旋槳,0
6941565980649,無人機配件,PCS,DJI FPV遙控器3,0
6941565980496,無人機配件,PCS,DJI AVATA 2螺旋槳,0
6941565901897,無人機配件,PCS,DJI RONIN BG30電池,0
6941565906410,無人機配件,PCS,DJI POCKET 2,0
6941565904027,無人機配件,PCS,DJI FPV配件包,0
6941565919854,無人機配件,PCS,DJI ACTION 2藍芽遙控延長桿,0
DJI_OSMO_001,無人機配件,PCS,DJI OSMO ACTION 配件大禮包,0
DJI_Care_RS4_Y1,服務費,PCS,DJI Care Refresh RS4-1年版,0
DJI_Care_RS4_Y2,服務費,PCS,DJI Care Refresh RS4-2年版,0
opening_items,服務費,PCS,帳款開帳用料號,0
