物料號,單價,價格表
6934177727269,9000,代理商價
6934177727269,9250,經銷價
6934177727269,9500,零售價
6934177701139,350,代理商價
6934177701139,400,經銷價
6934177701139,500,零售價
6934177707544,2000,代理商價
6934177707544,2250,經銷價
6934177707544,2500,零售價
6934177736377,1200,代理商價
6934177736377,1500,經銷價
6934177736377,1800,零售價
6934177715570,9000,代理商價
6934177715570,10000,經銷價
6934177715570,12000,零售價
6934177709920,800,代理商價
6934177709920,900,經銷價
6934177709920,1000,零售價
6934177717178,11000,代理商價
6934177717178,12000,經銷價
6934177717178,15000,零售價
6934177720338,450,代理商價
6934177720338,500,經銷價
6934177720338,600,零售價
6934177720369,650,代理商價
6934177720369,800,經銷價
6934177720369,1000,零售價
6934177720376,500,代理商價
6934177720376,600,經銷價
6934177720376,800,零售價
6941565969002,29500,代理商價
6941565969002,32000,經銷價
6941565969002,35000,零售價
6941565980243,2200,代理商價
6941565980243,2500,經銷價
6941565980243,3000,零售價
6941565901460,300,代理商價
6941565901460,400,經銷價
6941565901460,500,零售價
6941565949912,16500,代理商價
6941565949912,18000,經銷價
6941565949912,20000,零售價
6941565952264,120,代理商價
6941565952264,150,經銷價
6941565952264,200,零售價
6941565945006,1500,代理商價
6941565945006,1800,經銷價
6941565945006,2000,零售價
6941565969767,1200,代理商價
6941565969767,1500,經銷價
6941565969767,1800,零售價
6941565945037,400,代理商價
6941565945037,450,經銷價
6941565945037,500,零售價
6941565945044,450,代理商價
6941565945044,500,經銷價
6941565945044,600,零售價
