X Field,X軸欄位
Y Field, Y軸欄位
Setting up an ERP can be overwhelming. But don't worry, we have got your back! This wizard will help you onboard to ERPNext in a short time!
{0} days ago, {0}天前
Rate (TWD), 單價(新台幣)
Scheduler Inactive, 後台任務未啟動
{0} records will be exported, 將匯出 {0} 筆記錄 
All Territory, 所有區域
Proposal Qualification, 投標審查
Pick List, 揀貨單
Search for anything, 搜索任何內容
Is Transporter, 是物流公司
Attach a web link, 新增一個網址
Make {0} Variant, 生成{0}個多規格物料
Make Auto Attendance, 生成自動考勤記錄
Login Password, 登錄密碼
at Row: {0}, 第{0}行
Bank Account Name, 銀行帳戶
Bank Account Details, 銀行帳戶詳細資訊
Sales Orders, 銷售訂單
%s is not a valid report format. Report format should \				one of the following %s,%s 不是有效的報表格式. 報表格式應以 \ 開頭然後才是 %s
'employee_field_value' and 'timestamp' are required.,&#39;employee_field_value&#39;和&#39;timestamp&#39;是必需的。
'Total',&#39;總&#39;
'Recipients' not specified,&#39;收件人&#39;未指定
'Date' is required,&#39;日期&#39;是必需的
&gt; {0} year(s) ago,&gt; {0}年前
&lt;head&gt; HTML,&lt;HEAD&gt; HTML
'To Case No.' cannot be less than 'From Case No.','結束箱號'不能小於'開始箱號'
**Currency** Master,** 貨幣**管理
** Failed: {0} to {1}: {2},**失敗：{0} {1}：{2}
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,**月度分配**針對業務有季節性波動的情況，幫助你按月分配預算/目標
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,**財年**表示財年。所有的會計分錄和其他重大交易將根據**財年**跟蹤。
* Will be calculated in the transaction.,*將被計算在該交易內。
-Above,-天以上
of,/
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - 草稿; 1 - 已提交; 2 - 已取消
01-Sales Return,01-銷售退貨
02-Post Sale Discount,02-售後折扣
03-Deficiency in services,03-服務質量不達標
04-Correction in Invoice,04-發票糾正
05-Change in POS,05-更改POS
06-Finalization of Provisional assessment,06-定期評估
07-Others,07，其他
0 is highest,0是最高的
"Permissions at level 0 are Document Level permissions, i.e. they are primary for access to the document.",0級權限是單據級的權限，也就是說，它們是主要用於訪問文件。
Set 0 for no limit,0表示不限數量
Enter 0 to waive limit,0表示不限次數
Oct,10
Nov,11
Dec,12
Auto close Opportunity after 15 days,15天之後自動關閉商機
1 month,1個月
1 minute ago,1分鐘前
1 week,1週
1 exact match.,1完全匹配。
1 hour ago,1小時前
1 record will be exported,將匯出一筆記錄
1 week ago,一週前
1 year,1年
1 star being lowest & 5 stars being highest rating,1星表示最低和5星為最高評價
Jan,01
1 comment,1條評論
January-April-July-October,1至4月，7- 10月
1 Currency = [?] FractionFor e.g. 1 USD = 100 Cent,1貨幣單位= [？]小額單位。例如1美元= 100美分
Jan 2019,2019-01
Feb 2019,2019-02
Mar 2019,2019-03
Apr 2019,2019-04
May 2019,2019-05
Jun 2019,2019-06
Jul 2019,2019-07
Aug 2019,2019-08
Sep 2019,2019-09
Nov 2019,2019-11
Dec 2019,2019-12
2 days ago,2天前
Feb,02
3 months,3個月
Mar,03
Apr,04
May,5月
5 Records,5筆記錄
6 months,6個月
Jun,06
Auto close Issue after 7 days,7天之後自動關閉問題
Jul,07
Aug,08
90-Above,90以上
Sep,09
"<h4>Default Template</h4><p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p><pre><code>{{ address_line1 }}&lt;br&gt;{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}{{ city }}&lt;br&gt;{% if state %}{{ state }}&lt;br&gt;{% endif -%}{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}{{ country }}&lt;br&gt;{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}</code></pre>","<H4>默認模板</ H4>  <p> 使用<a  Jinja href=""http://jinja.pocoo.org/docs/templates/"">模板</A>和地址的所有欄位（包括自訂欄位如果有的話）將可</ P>  <前> <代碼> {{address_line1}}＆LT; BR＆GT;  {％，如果address_line2％} {{address_line2}}＆LT; BR＆GT; { ENDIF％ - ％}  {{城市}}＆LT; BR＆GT;  {％，如果狀態％} {{狀態}}＆LT; BR＆GT; {％ENDIF - ％} {％，如果PIN代碼％} PIN：{{PIN碼}}＆LT; BR＆GT; {％ENDIF - ％}  {{國家}}＆LT; BR＆GT;  {％，如果電話％}電話：{{電話}}＆LT; BR＆GT; { ％ENDIF - ％}  {％，如果傳真％}傳真：{{傳真}}＆LT; BR＆GT; {％ENDIF - ％}  {％，如果email_id％}電子郵件：{{email_id}}＆LT; BR＆GT {％ENDIF - ％}  </代碼> </ PRE>"
<b>{0}</b> has been successfully unsubscribed from this mailing list.,<b>{0}</b>已成功地從這個郵件列表退訂。
Customizations for <b>{0}</b> exported to:<br>{1},<b>{0}的</b>自訂已匯出到： <br> {1}
<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>範例：</b> SAL- {first_name}  -  {date_of_birth.year} <br>這將生成一個像SAL-Jane-1972的密碼
"<h3>About Product Bundle</h3>

<p>Aggregate group of <b>Items</b> into another <b>Item</b>. This is useful if you are bundling a certain <b>Items</b> into a package and you maintain stock of the packed <b>Items</b> and not the aggregate <b>Item</b>.</p>
<p>The package <b>Item</b> will have <code>Is Stock Item</code> as <b>No</b> and <code>Is Sales Item</code> as <b>Yes</b>.</p>
<h4>Example:</h4>
<p>If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.</p>",<h3>套件</h3><p>將一組<b>物料</b>組合成另一個<b>套件物料</b>.適用於套件包含的物料屬於庫存物料，套件本身只是用於銷售，在物料主資料中勾選<code>允許銷售</code>，不勾選<code>允許庫存</code></p><h4>比如:</h4><p>你單獨出售筆記型電腦和電腦包，希望給同時購買筆記型電腦和電腦包的客戶特別的優惠，就可以將筆記型電腦和電腦包組合成一個套件</p>
<p>No results found for '{0}' in Global Search</p>,<p>全局檢索關鍵字 '<b>{0}</b>' 未找到匹配資料</p>
<p>No results found for '</p>,<p>找不到符合條件的結果</p>
A+,A +
A Positive,A+
A Negative,A-
A-,A-
A4,A4
AB+,AB +
AB Positive,AB+
AB Negative,AB-
AB-,AB-
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-
ACC-CF-.YYYY.-,ACC-CF-.YYYY.-
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-
